ts,tick_current,price_normalised,total_equity,active_lower_tick,active_upper_tick,liquidity,amount0_mm,amount1_mm,token0_fee_accul,token1_fee_accul,peak_equity
1767569315,1575,117068688,961601461757,1550,1600,355736360849393,394522436712,499739221233,1352102,3479073,961611241843
1767569439,1575,117067510,961596804535,1550,1600,355736360849393,396175799892,497803660379,1467845,3479073,961611241843
1767569441,1575,117065175,961587515520,1550,1600,355736360849393,399455289095,493964482295,1697425,3479073,961611241843
1767569509,1575,117063980,961582731994,1550,1600,355736360849393,401133452723,491999947126,1814904,3479073,961611241843
1767569511,1575,117062803,961578000918,1550,1600,355736360849393,402786815903,490064464108,1930647,3479073,961611241843
1767569513,1575,117060432,961568411365,1550,1600,355736360849393,406115497442,486167855641,2163671,3479073,961611241843
1767569515,1575,117058699,961561352273,1550,1600,355736360849393,408550421160,483317544505,2334127,3479073,961611241843
1767569517,1574,117056965,961554246893,1550,1600,355736360849393,410985344877,480467275586,2504583,3479073,961611241843
1767569519,1574,117055257,961547206770,1550,1600,355736360849393,413384284501,477659170150,2672521,3479073,961611241843
1767569701,1575,117057531,961556570823,1550,1600,355736360849393,410190045863,481398230729,2672521,3740827,961611241843
1767570091,1574,117056354,961551733149,1550,1600,355736360849393,411843409043,479462854334,2788264,3740827,961611241843
1767570119,1574,117055177,961546876018,1550,1600,355736360849393,413496772224,477527497402,2904007,3740827,961611241843
1767570141,1574,117055312,961547434110,1550,1600,355736360849393,413307207828,477749392469,2904007,3756361,961611241843
1767570177,1573,117045116,961504563230,1550,1600,355736360849393,427627253002,460987748907,3906480,3756361,961611241843
1767570291,1573,117041075,961487168083,1550,1600,355736360849393,433303577995,454344002385,4303851,3756361,961611241843
1767570319,1573,117040214,961483432124,1550,1600,355736360849393,434513009771,452928475631,4388517,3756361,961611241843
1767570363,1573,117039635,961480913933,1550,1600,355736360849393,435326264941,451976642387,4445449,3756361,961611241843
1767570441,1573,117034686,961459197547,1550,1600,355736360849393,442279218109,443839103390,4932189,3756361,961611241843
1767570465,1572,117033348,961453267270,1550,1600,355736360849393,444158184880,441640073089,5063725,3756361,961611241843
1767570523,1573,117035891,961464516818,1550,1600,355736360849393,440586436557,445820255169,5063725,4048995,961611241843
1767570561,1573,117034429,961458060423,1550,1600,355736360849393,442640344731,443416460444,5207508,4048995,961611241843
1767570569,1573,117034487,961458317131,1550,1600,355736360849393,442558300774,443512480145,5207508,4055716,961611241843
1767570607,1573,117034519,961458458744,1550,1600,355736360849393,442513794885,443564567392,5207508,4059363,961611241843
1767570627,1573,117034632,961458958696,1550,1600,355736360849393,442355276024,443750089269,5207508,4072350,961611241843
1767570649,1573,117034644,961459011776,1550,1600,355736360849393,442337339803,443771080859,5207508,4073820,961611241843
1767570653,1573,117034851,961459927118,1550,1600,355736360849393,442046569982,444111382589,5207508,4097643,961611241843
1767570673,1573,117035451,961462576876,1550,1600,355736360849393,441204974928,445096344635,5207508,4166595,961611241843
1767570735,1573,117035479,961462700408,1550,1600,355736360849393,441164781662,445143385011,5207508,4169888,961611241843
